DIC_DT_DATE_ID,DIC_AFA_ID,NoOfImpressions,NoofClicks,Unique_IMP_Count,Unique_CLI_Count,BannerName,MM_BrandName,Language_Desc,MM_Size_Name,IsDirectDownload,MM_DestinationURL,MM_Promotion_Name,MM_IsMobile
20230405,100229330,11,27,3,16,Cleopatra 1500 WP,888casino,Greek,120x600,0,http://el.888casino.com/exclusive-mob/cleopatra-1500-88.htm,?1500 Welcome Package,0
20230405,100329330,2,6,1,2,Treasure Fair - 1500 Welcome package + 30 free,888casino,Czech,120x600,0,http://cs.888casino.com/exclusive-mob/treasure-fair.htm,1500 WP + 30,0
20230405,100401300,5,4,1,1,Treasure Fair - 1500 Welcome package + 30 free,888casino,German,728x90,0,http://de.888casino.com/exclusive-mob/treasure-fair.htm,1500 WP + 30,0
20230405,100426330,17,20,8,8,Roulette 100% up to 200,888casino,English,UD,0,https://play-www.777.com/,777 100% up to 200,0
20230405,100326330,0,16,0,8,Roulette 100% up to 200,888casino,English,UD,0,https://play-www.777.com/,777 100% up to 200,0
20230405,100190659,18,12,5,7,777 BJ 100% up to 200,888casino,English,UD,0,http://www.777.com/exclusive/blackjack.htm,777 100% up to 200,1
20230405,100288955,1,8,1,3,777 Slots 100% up to 200,888casino,English,UD,0,https://play-www.777.com/,777 100% up to 200,0
20230405,100286970,9,12,5,4,Bem-vindo Pacote,888casino,Portuguese,236x60,1,http://pt.888casino.com/,UD,0
20230405,100255776,12,8,4,3,Bem-vindo Pacote,888casino,Portuguese,300x250,1,http://pt.888casino.com/,UD,0
20230405,100329330,18,4,5,2,EURO EL Roulette,888casino,Greek,120x600,1,http://el.888casino.com/,UD,0
20230405,100323412,20,6,5,2,888casino.es 1 million,888casino.es,Spanish,728x90,0,http://www.888casino.es/,UD,0
20230405,100231724,2,2,1,2,888casino.es 1 million,888casino.es,Spanish,720x300,0,http://www.888casino.es/,UD,0
20230405,100313580,7,1,3,1,Roulette 1500 WP,888casino,English,728x90,0,https://www.888casino.com/exclusive-mob/offer-1500.htm,Roulette - 1500 Welcome Package,0
20230405,100329330,2,9,1,3,Roulette 1500 WP,888casino,Japanese,120x600,0,https://jp.888casino.com/exclusive-mob/offer-1500.htm,Roulette - 1500 Welcome Package,1
20230405,100183454,1,6,1,1,Spin the wheel Cleopatra,888casino,English,300x250,0,https://www.888casino.com/exclusive-mob/cleopatra-1500-88.htm,Spin the wheel,0
20230405,100238383,7,7,3,2,50 KR +up to 2000kr-Generic,888casino.dk,Danish,UD,0,https://www.888casino.dk/sem/online-casino/generic/50kr-rfsp.htm,Casino DK - 50KR + 2000KR,1
20230405,100200357,1,5,1,2,50 Kr spins - slots,888casino.dk,Danish,UD,0,https://www.888casino.dk/sem/online-casino/slots/50kr-rfsp.htm,Casino DK - 50KR + 2000KR,0
20230405,100206581,0,0,0,0,50 KR - Blackjack,888casino.dk,Danish,UD,0,https://www.888casino.dk/sem/online-casino/blackjack/50kr-rfsp.htm,Casino DK - 50KR + 2000KR,0
20230405,141074114,0,1,0,1,www.888casino.dk - Home Page,888casino.dk,Danish,UD,0,http://www.888casino.dk/,Casino DK - 50KR + 2000KR,1
20230405,100069809,19,9,8,4,www.888casino.dk - Home Page,888casino.dk,Danish,UD,0,http://www.888casino.dk/,Casino DK - 50KR + 2000KR,0
20230405,100290393,26,12,6,8,888Ladies registration page,888ladies.com,English,UD,0,https://www.888ladies.com/smarturl, Treble the odds,0
20230405,100229330,4,0,2,0,Cleopatra 1500 WP,888casino,Czech,120x600,0,http://cs.888casino.com/exclusive-mob/cleopatra-1500-88.htm,?1500 Welcome Package,0
20230405,100229330,10,0,7,0,Cleopatra 1500 WP,888casino,Greek,120x600,0,http://el.888casino.com/exclusive-mob/cleopatra-1500-88.htm,?1500 Welcome Package,0
20230405,100229330,9,7,4,2,Treasure Fair - 1500 Welcome package + 30 free,888casino,Czech,120x600,0,http://cs.888casino.com/exclusive-mob/treasure-fair.htm,1500 WP + 30,1
20230405,100201300,12,10,6,4,Treasure Fair - 1500 Welcome package + 30 free,888casino,German,728x90,0,http://de.888casino.com/exclusive-mob/treasure-fair.htm,1500 WP + 30,0
20230405,100226330,1,19,1,6,Roulette 100% up to 200,888casino,English,UD,0,https://play-www.777.com/,777 100% up to 200,0
20230405,100226330,10,0,3,0,Roulette 100% up to 200,888casino,English,UD,0,https://play-www.777.com/,777 100% up to 200,0
20230405,100190659,20,22,13,10,777 BJ 100% up to 200,888casino,English,UD,0,http://www.777.com/exclusive/blackjack.htm,777 100% up to 200,0
20230405,100188955,2,29,1,12,777 Slots 100% up to 200,888casino,English,UD,0,https://play-www.777.com/,777 100% up to 200,1
20230405,100186970,7,15,2,8,Bem-vindo Pacote,888casino,Portuguese,236x60,1,http://pt.888casino.com/,UD,0
,,,,,,,,,,,,,
20230406,100097158,10,4,4,2,Roulette 50 free + 1500 WP,888casino,English,468x60,0,http://www.888casino.com/exclusive-mob/roulette50.htm,Roulette 50 free + 1500 WP,1
20230406,100100154,8,7,4,3,Roulette 50 free + 1500 WP,888casino,English,468x60,0,http://www.888casino.com/exclusive-mob/roulette50.htm,Roulette 50 free + 1500 WP,0
20230406,100022956,3,2,0,0,50 kr+ 100% up to 2000kr ,888casino.dk,Danish,250x250,0,https://www.888casino.dk/sem/online-casino/slots/50kr-rfstarsp.htm,Casino DK - 50KR + 2000KR,0
20230406,100069940,8,7,3,1,50kr+ 100% up to 2000kr ,888casino.dk,Danish,300x600,0,https://www.888casino.dk/sem/online-casino/slots/50kr-rfstarsp.htm,Casino DK - 50KR + 2000KR,0
20230406,100069940,10,15,3,4,50 KR +up to 2000kr-slots,888casino.dk,Danish,UD,0,https://www.888casino.dk/sem/online-casino/slots/50kr-rfstarsp.htm,Casino DK - 50KR + 2000KR,0
20230406,41074114,9,12,2,7,50 KR +up to 2000kr-slots,888casino.dk,Danish,UD,0,https://www.888casino.dk/sem/online-casino/slots/50kr-rfstarsp.htm,Casino DK - 50KR + 2000KR,0
20230406,100138383,0,33,0,16,50 KR +up to 2000kr-Generic,888casino.dk,Danish,UD,0,https://www.888casino.dk/sem/online-casino/generic/50kr-rfsp.htm,Casino DK - 50KR + 2000KR,0
20230406,100100357,12,6,7,3,50 Kr spins - slots,888casino.dk,Danish,UD,0,https://www.888casino.dk/sem/online-casino/slots/50kr-rfsp.htm,Casino DK - 50KR + 2000KR,0
20230406,100106581,13,20,7,8,50 KR - Blackjack,888casino.dk,Danish,UD,0,https://www.888casino.dk/sem/online-casino/blackjack/50kr-rfsp.htm,Casino DK - 50KR + 2000KR,0
20230406,41074114,3,20,1,5,www.888casino.dk - Home Page,888casino.dk,Danish,UD,0,http://www.888casino.dk/,Casino DK - 50KR + 2000KR,1
20230406,100059809,4,12,1,6,www.888casino.dk - Home Page,888casino.dk,Danish,UD,0,http://www.888casino.dk/,Casino DK - 50KR + 2000KR,1
20230406,100090393,6,8,2,3,888Ladies registration page,888ladies.com,English,UD,0,https://www.888ladies.com/smarturl, Treble the odds,0
20230406,100129330,6,5,2,1,Cleopatra 1500 WP,888casino,Czech,120x600,0,http://cs.888casino.com/exclusive-mob/cleopatra-1500-88.htm,?1500 Welcome Package,0
20230406,100129330,2,8,1,2,Cleopatra 1500 WP,888casino,Greek,120x600,0,http://el.888casino.com/exclusive-mob/cleopatra-1500-88.htm,?1500 Welcome Package,0
20230406,100129330,1,12,0,5,Treasure Fair - 1500 Welcome package + 30 free,888casino,Czech,120x600,0,http://cs.888casino.com/exclusive-mob/treasure-fair.htm,1500 WP + 30,0
20230406,100101300,12,30,8,13,Treasure Fair - 1500 Welcome package + 30 free,888casino,German,728x90,0,http://de.888casino.com/exclusive-mob/treasure-fair.htm,1500 WP + 30,1
20230406,100126330,11,24,3,12,Roulette 100% up to 200,888casino,English,UD,0,https://play-www.777.com/,777 100% up to 200,0
20230406,100126330,2,6,1,2,Roulette 100% up to 200,888casino,English,UD,0,https://play-www.777.com/,777 100% up to 200,1
20230406,100090659,5,4,1,1,777 BJ 100% up to 200,888casino,English,UD,0,http://www.777.com/exclusive/blackjack.htm,777 100% up to 200,0
20230406,100088955,17,12,8,3,777 Slots 100% up to 200,888casino,English,UD,0,https://play-www.777.com/,777 100% up to 200,0
20230406,100086970,0,16,0,8,Bem-vindo Pacote,888casino,Portuguese,236x60,1,http://pt.888casino.com/,UD,1
20230406,100055776,18,12,5,7,Bem-vindo Pacote,888casino,Portuguese,300x250,1,http://pt.888casino.com/,UD,0
20230406,100129330,1,8,1,3,EURO EL Roulette,888casino,Greek,120x600,1,http://el.888casino.com/,UD,1
20230406,100123412,9,12,5,4,888casino.es 1 million,888casino.es,Spanish,728x90,0,http://www.888casino.es/,UD,0
